,UserStory,Label
565,i can identify the neighbourhoods with the largest number of drop - offs and to try getting more facilities involved,Capability
566,i want to see the map of the destination,Capability
567,"i want to visualize by default in treemap , bubble tree , map and pivot table the most recent year when my dataset contain multiple years ,",Capability
568,"i want to be able to customize features and content ,",Capability
569,"i want to send an email to any member via a form ,",Capability
570,i can receive a response to a request for a meeting or information that is a result of the preapplication assistance,Capability
571,"i want to be able to change the display of all monetary measures across a set of currencies ,",Capability
572,i would like help setting a budget,Capability
573,i want more information about how many rows will be published prior to deciding whether to publish,Soft-goal
574,"i could view the latest information concerning the driver , destination , time , available seats",Capability
575,i want the fabs validation rules to accept zero and blank for loan records,Capability
576,"i want to derive fundingagencycode ,",Task
577,"i want to stop publishing jobs on the site 30 days after being posted ,",Capability
578,i want to consult the experience of the driver,Capability
579,"i want to create a user testing summary from the ui sme ,",Capability
580,"i would like access to "" deals "" from local food vendors",Capability
581,i can capture my response to the request in the system and also send a communication from the system to the applicant,Capability
582,i want to move people in a trainer's class from a pending state to the registry once i have received proof of payment from the trainer,Capability
583,i can find the relevant service and/or application type to initiate via the online portal,Capability
584,"i want to be able to select different types of recyclable waste , so i have and get a list of facilities that accept each type and their opening hours ,",Capability
585,i can accommodate different types of content,Task
586,i want to be notified that a candidate rider applied for one of my rides,Capability
587,"i want to submit my application in the android market , and implement the sms service and the voice service",Capability
588,i can correct or enhance existing data,Capability
589,i can learn that quickly,Task
590,i need a back - up plan for viewing my calendar & Capability if electronics fail,Capability
591,i can easily finish the article,Capability
592,i can read more about a trainer before registering for a course,Capability
593,the course participants are added to the scrum alliance records,Capability
594,i can view dabs pages without wanting two sets of permissions,Capability
595,i can create a new one,Capability
596,"i want to design an audit from the ui sme ,",Task
597,i want to make some updates to the sql codes for clarity,Capability
598,"i want a mongo integration ,",Capability
599,i can choose the best course for me,Capability
600,i can get quick answers,Capability
601,i can better manage submissions and ig requests,Task
602,i want to use the schema headers in my fabs file,Capability
603,"i want to have an advanced search option that lets me fill in a form of search criteria ,",Capability
604,"i want to display my logo on a corporate sponsors page ,",Capability
605,i can cancel a ride,Capability
606,i need to schedule events in an efficient manner,Task
607,i can create community & connection,Capability
608,"i want to post comments about articles ,",Capability
609,i want to have access to a help section,Capability
610,i want to book a ride when it is aviable,Task
611,"i want to search for profiles based on a few fields ,",Capability
612,i want to confirm the proposal,Capability
613,"i want to onboard recycling centers on the platform ,",Capability
614,i can grant the request to the applicant to begin work,Capability
615,"i want the historical fabs loader to derive fields ,",Capability
616,i can meet with the plan review staff regarding the plan review,Capability
617,"i want to have a functioning python client ,",Capability
618,"i want to modify my application ,",Capability
619,site visitors can see it,Capability
620,i can share the seat to the rider,Capability
621,i want the maximum length allowed for legalentityaddressline3 to match schema,Capability
622,i'd like campus applications to work on my phone,Hard-goal
623,i want to read the entire article,Capability
624,i want to be informed of academic calendar deadlines,Capability
625,we're sure of the quality of jobs being listed,Soft-goal
626,i want to have the news feed from the application,Capability
627,i can give feedback or ask for help,Task
628,openspending always shows current data,Capability
629,i can fix or review any issues that are being faced by users of the system,Task
630,"i would like to package ml datasets as data packages ,",Capability
631,"i want to assign a hearing date ,",Task
632,visitors are incentivized to become members,Soft-goal
633,"i want to be able to create an acocunt ,",Capability
634,it's there for visitors,Capability
635,i can know clearly about the driver,Soft-goal
636,i want to be able to find important emails even when i'm offline,Capability
637,"i want to attend some ui / ux lessons ,",Capability
638,i can successfully send the notice of violation document to the property owner and log information about the action,Capability
639,"i want to be able to indicate whether an article is publicly available or for members only ,",Capability
640,i know how much money i have,Capability
641,"i want to be able to change some of the styling of the embedded viewer in my own platform ,",Capability
642,i know when the submission starts and ends,Capability
643,"i want to be able to log better ,",Soft-goal
644,i can feel trust in the validity and usefulness of the data,Soft-goal
645,"i want to get a data package into stata in seconds ,",Capability
646,"i want to create each condo unit ,",Capability
647,"i want to design a schedule from the ui sme ,",Task
648,"i want to be able to read some of your articles ,",Capability
649,"i want to have accurate , clear presentation of add / drop dates & processes",Soft-goal
650,"i want to create a custom query / report outside of the common querying / reporting functionality ,",Capability
651,i'd like to see my ucb bills & awards in the context of my personal budget,Capability
652,"i want to handle all users' activities ,",Task
653,"i want to be able to translate my eml dataset to a data package ,",Capability
654,"i want an eprints integration ,",Capability
655,i can track and manage bonds throughout the lifecycle of the project until release,Task
656,i can fix my mistakes or have a dataset primarily for my own use,Capability
657,"i want to make sure the historical data includes all necessary columns ,",Hard-goal
658,"i want to access the route planning system during work ,",Capability
659,i want my Capability to disappear ( from the a&t graphic ) after i've completed them,Capability
660,"i want my domain models to be indexed properly ,",Capability
661,"i want to get a data package into python in seconds ,",Capability
662,"i want to download the latest training material and methodology pdfs ,",Capability
663,i am not confused,Soft-goal
664,"i want to get a data package into r in seconds ,",Capability
665,i can visualise it on a map,Capability
666,i can get where i need to be on time,Hard-goal
667,i can indicate which articles i want featured most prominently on the site,Capability
668,"i want to conduct and track plan amendments and planning studies ,",Task
669,"i want to be notified about the results of surveys about my classes ,",Capability
670,"i want to be able to hide a dataset that i have already added as public ,",Capability
671,"i want an app that generates an openrefine reconciliation api endpoint from a tabular data package ,",Capability
672,"i want to be able to edit the data source of data i have already imported ,",Capability
673,"i want to be able to save new visualizations ,",Capability
674,i can validate compliance of an application with the zoning ordinance and impact approval / denial of the application accordingly,Capability
675,i want all historical financial assistance data loaded for fabs go - live,Capability
676,i can give them additional exposure,Soft-goal
677,"i want to be able to designate whether or not an ever makes the home page ,",Capability
678,i want the fabs validation rules to accept zero and blank for non - loan records,Capability
679,i can keep the database up - to - date over time,Hard-goal
680,i want to comment on the ride and its driver,Capability
681,there are no duplicates,Hard-goal
682,"funding agencies can identify the funding , source for a given dataset",Capability
683,my dataset is more engaging for non - technical users,Soft-goal
684,"i want to have the packager support constants ,",Capability
685,"i want to one place to easily find clubs that are relevant to my interests , academic pursuits and career goals",Capability
686,i can ask questions about her / his ride,Capability
687,i want to see the time that the driver left,Capability
688,i can log on to the customer portal and perform transactions that first require user authentication,Capability
689,"i can deal with takedown requests , or clean up test datasets",Capability
690,i can integrate data - packaged data with pipelines that use elasticsearch,Capability
691,"i want to issue the zoning - related permits ,",Capability
692,they fix them,Task
693,i can not click it multiple times for the same submission,Capability
694,i can review the for compliance and subsequently approved or denied,Capability
695,i want to contact to the driver,Capability
696,i want to personalize news feeds ( daily cal instead of campus news ),Capability
697,i can more easily understand what i am viewing,Soft-goal
698,i want new relic to provide useful data across all applications,Soft-goal
699,"i want to include additional details in my profile page about me ,",Capability
700,i can meet service level and quality requirements,Soft-goal
701,i know the potential scope of the ui improvements want ed,Soft-goal
702,"i want to turn a course into an event or an event into a course ,",Capability
703,"i want to manage affidavits ,",Task
704,"i want to get a data package into clojure in seconds ,",Capability
705,"i want to be able to get a set of monetary measures transferred to different currencies ,",Capability
706,"i want to have my personal information kept securely in the database of the website ,",Capability
707,i can focus on what is most relevant ( finding a job ),Soft-goal
708,"i want to get a data package into spss in seconds ,",Capability
709,i can go from a to b,Hard-goal
710,i can have access to rides from a to b,Capability
711,i have a pleasant experience when navigating through them,Soft-goal
712,"i want to delete one of my courses or events ,",Capability
713,"i want to update the gis property management ,",Capability
714,"i want to begin user testing ,",Task
715,i can remove unwanted data from openspending,Capability
716,i can offer the seat,Task
717,i can use the data in other tools,Capability
718,i can benefit from better tooling and standardization,Soft-goal
719,i can pay by sms,Capability
720,"i want to research requirements and to select a service ,",Task
721,"i would like to be able to easily see how much my assignments count towards my grade , and would like to see my grades in the context of the syllabus",Capability
722,i want to synch my ical with the google calendar on my phone,Capability
723,i want to have up to date information when planning my schedule ( pain point : isn't always correct ),Capability
724,"i want to email news items to the editor ,",Capability
725,"i want to be able to browse through the list of facolities and see which ones are environment - friendly ,",Capability
726,i want to submit a citywide as a ppopzip and pass validations,Capability
727,"i want to issue a development - related permit ,",Capability
728,i want to denote an application with a final action status,Capability
729,i could have any interest for that location,Soft-goal
730,i can showcase my experience,Task
731,i can offer functionality based on platform administration privileges,Task
732,i read more,Soft-goal
733,"i want to know what my data needs to be able to be visualised on a map ,",Capability
734,"i want to assign inspections ,",Capability
735,i can delegate data validation to a third party,Capability
736,"i want to track the draft proffers ,",Capability
737,articles appear only during appropriate periods,Capability
738,i can decide if i want to attend any,Capability
739,i want to know the information of the rider,Capability
740,the other riders can see my opinion,Capability
741,the site has plenty of content,Soft-goal
742,i want to manage my mealpoints on,Task
743,only applicants who qualify can become csps or csts,Capability
744,"i want to use bootstrap in the process of developing ,",Capability
745,support gets fewer easily answered questions,Soft-goal
746,i am up on all the latest happenings,Soft-goal
747,"i want to see scholarship information that is relevant to my status ,",Capability
748,"i want to link my email account to my profile ,",Capability
749,i can adjust my hours and/or upgrade equipment and capacity in order to be able to accomodate larger amounts of recyclable materials,Capability
750,i want to be planning my schedule all semester,Task
751,i'm not confused about who last updated a submission,Soft-goal
752,i can associate it to the child parcel and address after the condominiums are recorded in the system,Capability
753,"i want to read current news on the home page ,",Capability
754,i can upload or delete stuff step by step,Capability
755,"i want to process the requests for zoning information ,",Capability
756,i can use color to see at a glance the different categories of things i have to do,Capability
757,i can validate stakeholder ui improvement requests,Capability
758,"i want fabs deployed into production ,",Capability
759,i can get more granular views on the data,Capability
760,i can fix things the original author hasn't,Capability
761,i can increase information accuracy,Soft-goal
762,"i want to have a prominent area on the home page where i can put special announcements not necessarily news or articles ,",Capability
763,others can use that information,Soft-goal
764,"i only want zero - padded fields ,",Capability
765,i like to have things color coded,Capability
766,i want to be able to include a large number of flexfields without performance impact,Capability
767,"i want to post a help wanted ad ,",Capability
768,i can plan ahead,Task
769,i can answer any questions about my recycling center,Hard-goal
770,"i want to pay an annual fee ,",Task
771,i want to update the fabs sample file to remove fundingagencycode after fabs is updated to no longer require the header,Capability
772,i can provide formal communication to the responsible party,Capability
773,i want to get paid in a secured way,Capability
774,i get them done on time and don't forget any of them,Hard-goal
775,i can ensure i can take the classes i need to graduate,Capability
776,i can know the time of leaving,Hard-goal
777,i can identify any outliers or possible problems,Capability
778,"i want to make it easy to prove that our published data is valid ,",Soft-goal
779,"i want to request preapplication assistance ,",Capability
780,i can renew my membership,Capability
781,i can get a quick preview of the data,Soft-goal
782,"i want to generate planning - related reports ,",Capability
783,"i want to review the code modifications submitted by the applicant ,",Capability
784,i need to define the amount and the driver,Capability
785,"i want to set the annual fees for members , practitioners and trainers ,",Capability
786,i want to receive notifications from bearfacts ( in calcentral ),Capability
787,"i want to approve each help wanted ad before it gets to the site ,",Capability
788,i can allow progression through the workflow or other actions in the system now that the issue has been resolved,Capability
789,"i want to have read - only access to dabs ,",Capability
790,"i want to be able to download a csv of the data that is used in any visualisation i am viewing ,",Capability
791,"i want to create an inspection ,",Capability
